Date,open,high,low,close,volume
2003-07-03,1.0293969655615245,1.0364662069488104,1.0155302290849806,1.0313002268473308,118414.0
2003-07-07,1.0348347956183377,1.0500608843777774,1.0345628419076616,1.044622951083713,79502.0
2003-07-08,1.0429872125769797,1.0492572222647873,1.0323556288299618,1.0470763312445746,66798.0
2003-07-09,1.0536189822314825,1.0560724328246691,1.04107906587152,1.0429872936672635,128542.0
2003-07-10,1.0470764967304986,1.0593437506814627,1.0418970357248134,1.0462587144639757,77730.0
2003-07-11,1.050892899578115,1.0560724643129535,1.0329009626884966,1.033718744913737,73988.0
2003-07-14,1.0290844231310994,1.030174868669647,0.9936457750531837,1.0157267252604167,149634.0
2003-07-15,1.0165447943882189,1.0176352401230473,0.9999158608992867,1.0029145346747503,81036.0
2003-07-16,1.0042773751266416,1.0239049791717223,1.004004815732954,1.0110925038655598,77460.0
2003-07-17,1.0075486621047116,1.0225419253402557,0.9928279582775443,1.0206336975097656,111984.0
2003-07-18,1.0290844614064296,1.0484394024777834,1.0206336641542855,1.0402612686157227,117530.0
2003-07-21,1.0356271214997141,1.0416243647282766,1.0282667691827023,1.0301749971177843,127298.0
2003-07-22,1.0369901519925375,1.0931467537269615,1.0356271468613318,1.0901481840345595,192578.0
2003-07-23,1.0898754891637248,1.1097756546788242,1.0860590333102291,1.099416732788086,129836.0
2003-07-24,1.0926015057950653,1.0956000751332382,1.066976554796791,1.0683395597669814,111862.0
2003-07-25,1.0683396320030147,1.0737917562430355,1.0555272596281797,1.0585259331597223,78638.0
2003-07-28,1.0604340734172708,1.0672492021564806,1.05034760801,1.0582531823052301,71234.0
2003-07-29,1.0637054166622295,1.0855138100964647,1.0637054166622295,1.0773356755574544,224720.0
2003-07-30,1.0814247238841732,1.109503128780145,1.0795164958997687,1.109230465359158,147470.0
2003-07-31,1.10841273918771,1.1187717659064638,1.0972359301458496,1.1040510601467557,89502.0
2003-08-01,1.1002343776340293,1.1133194120649148,1.0945096945687562,1.101324823167589,86602.0
2003-08-04,1.097235758261819,1.1054138921836598,1.0953275304797434,1.1035056644015842,69280.0
2003-08-05,1.0991439481739282,1.1269496857426586,1.0991439481739282,1.1114112006293402,142464.0
2003-08-06,1.1125016824000176,1.1277675046276832,1.059888878815408,1.0814246071709528,194776.0
2003-08-07,1.0762452580184894,1.0819699419463635,1.042714832738708,1.0489847395155165,138346.0
2003-08-08,1.0443504939098673,1.070520566530147,1.0399888151398207,1.047621726989746,97514.0
2003-08-11,1.0538916828403764,1.076517964008077,1.049257444427115,1.0748822953965929,78020.0
2003-08-12,1.0721562949489434,1.0988715919064462,1.0650685015576,1.0953276952107747,117272.0
2003-08-13,1.097508270676425,1.1013248300677954,1.069429973950309,1.0702477561102972,122068.0
2003-08-14,1.0765178653641276,1.0920563517821966,1.0746095334969463,1.0762452019585504,85378.0
2003-08-15,1.077880785691926,1.0896028154354462,1.0718834391280934,1.0833329094780817,58102.0
2003-08-18,1.0822427000284014,1.1054141011864482,1.0822427000284014,1.0991441938612196,101456.0
2003-08-19,1.1002344600236689,1.1138647182420183,1.0808795183113609,1.1119564904106989,110966.0
2003-08-20,1.1119565938279654,1.138671889941706,1.109503142960855,1.1340375476413302,148272.0
2003-08-21,1.1400348559258504,1.1495759956420302,1.1228607004461033,1.1419430838690863,137312.0
2003-08-22,1.14603213353018,1.1964640472350512,1.1446691285093542,1.188558472527398,214862.0
2003-08-25,1.1795626643033383,1.1803804465926593,1.1408526734223252,1.1443965699937608,142102.0
2003-08-26,1.1449417592680267,1.1501212202661861,1.09778107547229,1.1125017801920574,134884.0
2003-08-27,1.113319534725485,1.1307662492221997,1.111683866244935,1.1187716590033636,92474.0
2003-08-28,1.1239511700844267,1.1503939064195496,1.1217703826702226,1.1313115225897894,113092.0
2003-08-29,1.1277675368566735,1.1438512457280383,1.1095030407435837,1.1266771952311199,100612.0
2003-09-02,1.1288580745138581,1.138126655025789,1.0795164982605459,1.079789161682129,144214.0
2003-09-03,1.079516341983555,1.079516341983555,1.0468038074918073,1.049529817369249,152500.0
2003-09-04,1.0549819884878333,1.0702478108719848,1.0473489733051418,1.0577079984876845,127406.0
2003-09-05,1.0577080287634342,1.0634327123213538,1.0217241549841978,1.033718744913737,118330.0
2003-09-08,1.0339915627994887,1.0394436877604432,0.9871034337221692,0.9933733410305448,182540.0
2003-09-09,0.9933733444310806,1.0045501538435124,0.970474502709192,0.9786527421739366,157586.0
2003-09-10,0.9895568406106408,0.9920102915340894,0.9107739556108128,0.9145904117160373,393252.0
2003-09-11,0.9085931092483409,0.910501337177315,0.8611597624651899,0.8617049853006998,410780.0
2003-09-12,0.8805147376734458,0.8927819919487292,0.8382609542724709,0.8524364365471734,342316.0
2003-09-15,0.8715187322178274,0.8758804628858496,0.8398965358430162,0.8426225980122884,258104.0
2003-09-16,0.8450760374365542,0.8788791246898895,0.8401691359967052,0.8663392596774631,221850.0
2003-09-17,0.873972296096647,0.9115917382836192,0.871791404612436,0.9072300593058268,226784.0
2003-09-18,0.9391248808734929,0.9650223941845817,0.914045149838445,0.9151355955335829,301372.0
2003-09-19,0.9154082574080521,0.9203150550466432,0.8687927439258124,0.8739722569783529,255566.0
2003-09-22,0.8747900252784372,0.8900559527688644,0.8671570615332235,0.8734270201789008,208904.0
2003-09-23,0.8796969557418033,0.8865120854540974,0.8674297014615484,0.8766982820298936,151442.0
2003-09-24,0.8595240675092058,0.8843310803171581,0.8341717799201968,0.8826955159505209,249366.0
2003-09-25,0.8854215524296329,0.8927819042719705,0.8243580024684832,0.8270840644836426,306964.0
2003-09-26,0.8502555570064171,0.9085930999245667,0.8483473290970249,0.882422924041748,367504.0
